7zip|25.01+dfsg-1~deb13u1
adduser|3.152
aglfn|1.7+git20191031.4036a9c-2
alsa-utils|1.2.14-1
amd64-microcode|3.20250311.1
ansible|12.0.0~b5+dfsg-0+deb13u1
ansible-core|2.19.4-0+deb13u1
apache2|2.4.65-2
apache2-bin|2.4.65-2
apache2-data|2.4.65-2
apache2-utils|2.4.65-2
apt|3.0.3
apt-transport-https|3.0.3
apt-utils|3.0.3
aptly|1.6.2-1~bpo13+1
at-spi2-common|2.58.2-1~bpo13+1
at-spi2-core|2.58.2-1~bpo13+1
atmel-firmware|1.3-7.1
b43-fwcutter|1:019-14
base-files|13.8+deb13u2
base-passwd|3.6.7
bash|5.2.37-2+b5
bat|0.25.0-2+b2
binutils|2.44-3
binutils-common|2.44-3
binutils-x86-64-linux-gnu|2.44-3
bluez-firmware|1.2-13
bsdextrautils|2.41-5
bsdutils|1:2.41-5
btrfs-progs|6.14-1
buffer|1.19-12.1
busybox|1:1.37.0-6+b3
bzip2|1.0.8-6
ca-certificates|20250419
ca-certificates-java|20240118
cifs-utils|2:7.4-1
cmake|3.31.6-2
cmake-data|3.31.6-2
coreutils|9.7-3
cpio|2.15+dfsg-2
cpp|4:14.2.0-1
cpp-14|14.2.0-19
cpp-14-x86-64-linux-gnu|14.2.0-19
cpp-x86-64-linux-gnu|4:14.2.0-1
cron|3.0pl1-197
cron-daemon-common|3.0pl1-197
curl|8.16.0-4~bpo13+1
dash|0.5.12-12
dbus|1.16.2-2
dbus-bin|1.16.2-2
dbus-daemon|1.16.2-2
dbus-session-bus-common|1.16.2-2
dbus-system-bus-common|1.16.2-2
dbus-user-session|1.16.2-2
dconf-gsettings-backend|0.40.0-5
dconf-service|0.40.0-5
deb-multimedia-keyring|2016.8.1
debconf|1.5.91
debconf-i18n|1.5.91
debconf-utils|1.5.91
debian-archive-keyring|2025.1
debianutils|5.23.2
debootstrap|1.0.141
default-jre-headless|2:1.21-76
dhcpcd-base|1:10.1.0-11+deb13u1
dialog|1.3-20250116-1
diffutils|1:3.10-4
dirmngr|2.4.7-21+b3
distro-info|1.13
distro-info-data|0.66+deb13u1
dmidecode|3.6-2
dmsetup|2:1.02.205-2
dosfstools|4.2-1.2
dpkg|1.22.21
dracut-install|106-6
e2fsprogs|1.47.2-3+b3
exfat-fuse|1.4.0-3+b1
fdisk|2.41-5
feh|3.10.3-1
findimagedupes|2.20.1-3+b3
findutils|4.10.0-3
firmware-amd-graphics|20250410-2
firmware-atheros|20250410-2
firmware-bnx2|20250410-2
firmware-bnx2x|20250410-2
firmware-brcm80211|20250410-2
firmware-ipw2x00|20250410-2
firmware-ivtv|20250410-2
firmware-iwlwifi|20250410-2
firmware-libertas|20250410-2
firmware-linux|20250410-2
firmware-linux-free|20241210-2
firmware-linux-nonfree|20250410-2
firmware-misc-nonfree|20250410-2
firmware-qlogic|20250410-2
firmware-realtek|20250410-2
firmware-zd1211|1:1.5-13
fontconfig|2.15.0-2.3
fontconfig-config|2.15.0-2.3
fonts-dejavu-core|2.37-8
fonts-dejavu-mono|2.37-8
fonts-hanazono|20170904-3
fonts-liberation|1:2.1.5-3
fonts-noto-color-emoji|2.051-0+deb13u1
fonts-urw-base35|20200910-8
fuse|3.17.2-3
fuse3|3.17.2-3
fzf|0.60.3-1+b2
galera-4|26.4.23-0+deb13u1
gawk|1:5.2.1-2+b1
gcc|4:14.2.0-1
gcc-14|14.2.0-19
gcc-14-base|14.2.0-19
gcc-14-x86-64-linux-gnu|14.2.0-19
gcc-x86-64-linux-gnu|4:14.2.0-1
gnupg|2.4.7-21
gnupg-l10n|2.4.7-21
gnuplot-data|6.0.2+dfsg1-1
gnuplot-nox|6.0.2+dfsg1-1
google-cloud-cli|549.0.0-0
gpg|2.4.7-21+b3
gpg-agent|2.4.7-21+b3
gpgconf|2.4.7-21+b3
gpgsm|2.4.7-21+b3
gpgv|2.4.7-21+b3
grep|3.11-4
gsettings-desktop-schemas|48.0-1
gzip|1.13-1
hdparm|9.65+ds-1.1
hfsprogs|540.1.linux3-6
hostname|3.25
hyperv-daemons|6.17.8-1~bpo13+1
iat|0.1.7-1
ieee-data|20240722
ifupdown|0.8.44
init|1.69~deb13u1
init-system-helpers|1.69~deb13u1
initramfs-tools|0.148.3
initramfs-tools-bin|0.148.3
initramfs-tools-core|0.148.3
intel-microcode|3.20250812.1~deb13u1
iproute2|6.15.0-1
iputils-ping|3:20240905-3
isolinux|3:6.04~git20190206.bf6db5b4+dfsg1-3.1
iucode-tool|2.3.1-3
java-common|0.76
jmtpfs|0.5-4+b1
keyboard-configuration|1.242~deb13u1
keyutils|1.6.3-6
klibc-utils|2.0.14-1
kmod|34.2-2
less|668-1
libabsl20240722|20240722.0-4
libacl1|2.3.2-2+b1
libaom3|1:3.12.1-dmo1
libapparmor1|4.1.0-1
libapr1t64|1.7.5-1
libaprutil1-dbd-sqlite3|1.6.3-3+b1
libaprutil1-ldap|1.6.3-3+b1
libaprutil1t64|1.6.3-3+b1
libapt-pkg7.0|3.0.3
libarchive13t64|3.7.4-4
libargon2-1|0~20190702+dfsg-4+b2
libasan8|14.2.0-19
libasound2-data|1.2.14-1
libasound2t64|1.2.14-1
libassuan9|3.0.2-2
libasyncns0|0.8-6+b5
libatomic1|14.2.0-19
libatopology2t64|1.2.14-1
libatspi2.0-0t64|2.58.2-1~bpo13+1
libattr1|1:2.5.2-3
libaudit-common|1:4.0.2-2
libaudit1|1:4.0.2-2+b2
libavahi-client3|0.8-16
libavahi-common-data|0.8-16
libavahi-common3|0.8-16
libavif16|1.2.1-1.2
libbinutils|2.44-3
libblas3|3.12.1-6
libblkid1|2.41-5
libbluetooth3|5.82-1.1
libbpf1|1:1.5.0-3
libbrotli1|1.1.0-2+b7
libbsd0|0.12.2-2
libburn4t64|1.5.6-1.1+b1
libbz2-1.0|1.0.8-6
libc-bin|2.41-12
libc-dev-bin|2.41-12
libc-l10n|2.41-12
libc6|2.41-12
libc6-dev|2.41-12
libcairo-gobject2|1.18.4-1+b1
libcairo2|1.18.4-1+b1
libcap-ng0|0.8.5-4+b1
libcap2|1:2.75-10+b1
libcap2-bin|1:2.75-10+b1
libcbor0.10|0.10.2-2
libcc1-0|14.2.0-19
libcom-err2|1.47.2-3+b3
libconfig-inifiles-perl|3.000003-3
libcrypt-dev|1:4.4.38-1
libcrypt1|1:4.4.38-1
libctf-nobfd0|2.44-3
libctf0|2.44-3
libcups2t64|2.4.10-3+deb13u2
libcurl3t64-gnutls|8.14.1-2+deb13u2
libcurl4t64|8.16.0-4~bpo13+1
libdatrie1|0.2.13-3+b1
libdav1d7|1:1.5.1-dmo1
libdb5.3t64|5.3.28+dfsg2-9
libdbi-perl|1.647-1
libdbus-1-3|1.16.2-2
libdconf1|0.40.0-5
libde265-0|1.0.15-1+b3
libdebconfclient0|0.280
libdecor-0-0|0.2.2-2
libdeflate0|1.23-2
libdevmapper1.02.1|2:1.02.205-2
libdialog15|1.3-20250116-1
libdrm-amdgpu1|2.4.124-2
libdrm-common|2.4.124-2
libdrm-intel1|2.4.124-2
libdrm-nouveau2|2.4.124-2
libdrm-radeon1|2.4.124-2
libdrm2|2.4.124-2
libedit2|3.1-20250104-1
libegl-mesa0|25.2.6-1~bpo13+1
libegl1|1.7.0-1+b2
libelf1t64|0.192-4
libencode-locale-perl|1.05-3
libepoxy0|1.5.10-2
libevdev2|1.13.4+dfsg-1
libevent-core-2.1-7t64|2.1.12-stable-10+b1
libexif12|0.6.25-1
libexpat1|2.7.1-2
libexpat1-dev|2.7.1-2
libext2fs2t64|1.47.2-3+b3
libfdisk1|2.41-5
libffi8|3.4.8-2
libfftw3-single3|3.3.10-2+b1
libfido2-1|1.15.0-1+b1
libfile-basedir-perl|0.09-2
libfile-desktopentry-perl|0.22-3
libfile-mimeinfo-perl|0.35-1
libflac14|1.5.0+ds-2
libfontconfig1|2.15.0-2.3
libfontenc1|1:1.1.8-1+b2
libfreetype6|2.13.3+dfsg-1
libfribidi0|1.0.16-1
libfuse2t64|2.9.9-9
libfuse3-4|3.17.2-3
libgav1-1|0.19.0-3+b1
libgbm1|25.2.6-1~bpo13+1
libgcc-14-dev|14.2.0-19
libgcc-s1|14.2.0-19
libgcrypt20|1.11.0-7
libgd3|2.3.3-13
libgdbm-compat4t64|1.24-2
libgdbm6t64|1.24-2
libgdk-pixbuf-2.0-0|2.42.12+dfsg-4
libgdk-pixbuf2.0-common|2.42.12+dfsg-4
libgif7|5.2.2-1+b1
libgit2-1.9|1.9.0+ds-2
libgl1|1.7.0-1+b2
libgl1-mesa-dri|25.2.6-1~bpo13+1
libglib2.0-0t64|2.84.4-3~deb13u1
libglvnd0|1.7.0-1+b2
libglx-mesa0|25.2.6-1~bpo13+1
libglx0|1.7.0-1+b2
libgmp10|2:6.3.0+dfsg-3
libgnutls30t64|3.8.9-3
libgomp1|14.2.0-19
libgpg-error0|1.51-4
