 inst-zclean-01-apt-get-00-clean-up.sh; -908956; 00:00:00:01
 inst-zclean-98-zerosizing.sh; -120160; 00:00:00:23
 inst-zclean-02-remove-block-services.sh; 0; 00:00:00:01
 inst-min-con-xtra-encoding-libtext-iconv-perl.sh; 4; 00:00:00:01
 inst-min-con-xtra-fuse.sh; 4; 00:00:00:00
 inst-min-win-01-basic-font.sh; 4; 00:00:00:00
 inst-min-win-01-wm-terminal-xfce.sh; 4; 00:00:00:00
 inst-std-00-jwm-menu.sh; 4; 00:00:00:00
 inst-std-system-keyboard.sh; 4; 00:00:00:01
 inst-std-system-time-zone.sh; 4; 00:00:00:00
 inst-zclean-03-default-filemanager.sh; 4; 00:00:00:01
 inst-zclean-04-chmod-script.sh; 4; 00:00:00:01
 inst-zclean-99-end-cleanup.sh; 4; 00:00:00:00
 inst-min-win-jwm-keys-alsa.sh; 8; 00:00:00:01
 inst-zclean-01-apt-get-01-source-list.sh; 8; 00:00:00:01
 inst-min-con-01-apt.sh; 12; 00:00:00:01
 inst-min-con-04-block-services-start-postinstall.sh; 12; 00:00:00:01
 inst-min-con-cld-bin.sh; 12; 00:00:00:01
 inst-min-con-auto-log-root.sh; 16; 00:00:00:00
 inst-min-win-jwm-keyboard-move-mouse.sh; 16; 00:00:00:00
 inst-std-inet-xtra-google-chrome-keyring.sh; 16; 00:00:00:01
 inst-std-system-alsamixer.sh; 16; 00:00:00:01
 inst-xtra-open-terminals-on-startup.sh; 20; 00:00:00:01
 inst-min-con-dircolors.sh; 24; 00:00:00:00
 inst-min-con-cld-bashrc.sh; 36; 00:00:00:00
 inst-min-con-users-poweruser.sh; 36; 00:00:00:01
 inst-min-win-jwm-help-manuals-text.sh; 40; 00:00:00:01
 inst-min-con-xtra-iso-iat.sh; 56; 00:00:00:01
 inst-std-multimedia-00-debmultimedia-keyring.sh; 56; 00:00:00:12
 inst-min-con-03-systemd-hooks.sh; 72; 00:00:00:00
 inst-std-help-manuals-html.sh; 76; 00:00:00:00
 inst-min-con-xtra-buffer.sh; 84; 00:00:00:01
 inst-std-system-xtra-gsimplecal.sh; 140; 00:00:00:02
 inst-min-con-xtra-buffer-pv.sh; 164; 00:00:00:01
 inst-min-con-xtra-dev-tool-tree.sh; 180; 00:00:00:00
 inst-min-con-01-debconf-utils.sh; 208; 00:00:00:06
 inst-std-xtra-opw-php-gd.sh; 236; 00:00:00:02
 inst-std-inet-xtra-00-google-chrome-fix.sh; 308; 00:00:00:06
 inst-min-win-00-00-xorg-fix.sh; 340; 00:00:00:01
 inst-min-win-xtra-xdotool.sh; 340; 00:00:00:06
 inst-min-con-filesystem-dosfstools.sh; 352; 00:00:00:06
 inst-std-xtra-opw-php-zip.sh; 352; 00:00:00:03
 inst-min-con-cld-dev-tools-debootstrap.sh; 364; 00:00:00:01
 inst-std-accessories-gpicview.sh; 376; 00:00:00:01
 inst-std-office-00-libreoffice-fix.sh; 436; 00:00:00:06
 inst-min-con-filesystem-hfsprogs.sh; 468; 00:00:00:01
 inst-min-win-systray-volumeicon-alsa.sh; 492; 00:00:00:01
 inst-min-con-xtra-locate.sh; 572; 00:00:00:01
 inst-std-xtra-opw-php-mysql.sh; 704; 00:00:00:09
 inst-std-xtra-opw-php-xml.sh; 736; 00:00:00:05
 inst-min-con-02-localepurge.sh; 748; 00:00:00:02
 inst-min-con-net-tools.sh; 864; 00:00:00:11
 inst-min-con-xtra-macchanger.sh; 888; 00:00:00:01
 inst-std-system-xtra-hardinfo.sh; 940; 00:00:00:01
 inst-min-con-filesystem-exfat.sh; 1144; 00:00:00:19
 inst-min-win-menu.sh; 1268; 00:00:00:01
 inst-min-con-cld-tools.sh; 1348; 00:00:00:01
 inst-min-win-cld-win-split.sh; 1512; 00:00:00:07
 inst-min-con-xtra-curl.sh; 1520; 00:00:00:01
 inst-min-con-pciutils.sh; 1728; 00:00:00:01
 inst-std-accessories-prtscr-gnome-screenshot.sh; 1768; 00:00:00:07
 inst-std-system-conky.sh; 1800; 00:00:00:01
 inst-std-xtra-opw-php-mbstring.sh; 2012; 00:00:00:02
