home; inst-xtra-virtualbox-clean.sh; 2019-05-19_16.22.15; 3378308; -640548; 00:00:00:01
home; inst-xtra-zfs-clean.sh; 2019-05-19_16.22.15; 3630452; -117460; 00:00:00:01
home; inst-zclean-98-zerosizing.sh; 2019-05-19_16.22.15; 3640748; -109860; 00:00:00:24
home; inst-zclean-01-apt-get-00-clean-up.sh; 2019-05-19_16.22.15; 3750592; -16028; 00:00:00:01
home; inst-zclean-02-remove-block-services.sh; 2019-05-19_16.22.15; 3750600; 0; 00:00:00:01
home; inst-zclean-99-end-cleanup.sh; 2019-05-19_16.22.15; 3640748; 0; 00:00:00:00
home; inst-min-con-xtra-encoding-libtext-iconv-perl.sh; 2019-05-19_16.22.15; 1896756; 4; 00:00:00:00
home; inst-min-con-xtra-fuse.sh; 2019-05-19_16.22.15; 1896760; 4; 00:00:00:01
home; inst-min-con-xtra-mariadb-server-fix.sh; 2019-05-19_16.22.15; 1918188; 4; 00:00:00:01
home; inst-min-win-01-basic-font.sh; 2019-05-19_16.22.15; 2599708; 4; 00:00:00:00
home; inst-min-win-01-wm-terminal-xfce.sh; 2019-05-19_16.22.15; 2710468; 4; 00:00:00:01
home; inst-std-00-jwm-menu.sh; 2019-05-19_16.22.15; 2837492; 4; 00:00:00:01
home; inst-std-inet-xtra-00-google-chrome-fix.sh; 2019-05-19_16.22.15; 3099604; 4; 00:00:00:00
home; inst-std-system-keyboard.sh; 2019-05-19_16.22.15; 3575700; 4; 00:00:00:01
home; inst-std-system-xtra-tz-montreal.sh; 2019-05-19_16.22.15; 3688164; 4; 00:00:00:01
home; inst-std-xtra-opw-php-mysql-fix.sh; 2019-05-19_16.22.15; 3690640; 4; 00:00:00:01
home; inst-zclean-03-default-filemanager.sh; 2019-05-19_16.22.15; 3750604; 4; 00:00:00:01
home; inst-zclean-04-chmod-script.sh; 2019-05-19_16.22.15; 3750608; 4; 00:00:00:01
home; inst-min-con-04-block-services-start-postinstall.sh; 2019-05-19_16.22.15; 1317608; 8; 00:00:00:00
