home; main.sh; 2019-01-02_17.58.35; 1000788; 1000788; 00:00:00:00
home; inst-min-con-00-apt-custom-repository.sh; 2019-01-02_17.58.35; 1004644; 3856; 00:00:00:08
home; inst-min-con-00-linux-image.sh; 2019-01-02_17.58.35; 1347996; 343352; 00:00:01:47
home; inst-min-con-01-apt-transport-https.sh; 2019-01-02_17.58.35; 1358484; 10488; 00:00:00:22
home; inst-min-con-01-apt.sh; 2019-01-02_17.58.35; 1358500; 16; 00:00:00:00
home; inst-min-con-01-debconf-utils.sh; 2019-01-02_17.58.35; 1358708; 208; 00:00:00:02
home; inst-min-con-02-locale.sh; 2019-01-02_17.58.35; 1378888; 20180; 00:00:00:15
home; inst-min-con-02-localepurge.sh; 2019-01-02_17.58.35; 1379632; 744; 00:00:00:04
home; inst-min-con-03-systemd-hooks.sh; 2019-01-02_17.58.35; 1379708; 76; 00:00:00:00
home; inst-min-con-04-block-services-start-postinstall.sh; 2019-01-02_17.58.35; 1379716; 8; 00:00:00:00
home; inst-min-con-auto-log-root.sh; 2019-01-02_17.58.35; 1379732; 16; 00:00:00:01
home; inst-min-con-cld-bashrc.sh; 2019-01-02_17.58.35; 1379764; 32; 00:00:00:00
home; inst-min-con-cld-bin.sh; 2019-01-02_17.58.35; 1379776; 12; 00:00:00:00
home; inst-min-con-cld-dev-tools-debootstrap.sh; 2019-01-02_17.58.35; 1380144; 368; 00:00:00:02
home; inst-min-con-cld-tools.sh; 2019-01-02_17.58.35; 1381480; 1336; 00:00:00:03
home; inst-min-con-compressors.sh; 2019-01-02_17.58.35; 1386008; 4528; 00:00:00:10
home; inst-min-con-dircolors.sh; 2019-01-02_17.58.35; 1386032; 24; 00:00:00:00
home; inst-min-con-filesystem-dosfstools.sh; 2019-01-02_17.58.35; 1386388; 356; 00:00:00:02
home; inst-min-con-filesystem-exfat.sh; 2019-01-02_17.58.35; 1387540; 1152; 00:00:00:18
home; inst-min-con-filesystem-hfsprogs.sh; 2019-01-02_17.58.35; 1388004; 464; 00:00:00:02
home; inst-min-con-filesystem-ntfs-3g.sh; 2019-01-02_17.58.35; 1390608; 2604; 00:00:00:32
home; inst-min-con-firmware-cpu.sh; 2019-01-02_17.58.35; 1395528; 4920; 00:00:00:32
home; inst-min-con-firmware-net-b43-installer.sh; 2019-01-02_17.58.35; 1433256; 37728; 00:00:00:06
home; inst-min-con-firmware.sh; 2019-01-02_17.58.35; 1598688; 165432; 00:00:02:01
home; inst-min-con-live-build-tools.sh; 2019-01-02_17.58.35; 1603148; 4460; 00:00:00:10
home; inst-min-con-mtp-jmtpfs.sh; 2019-01-02_17.58.35; 1611952; 8804; 00:00:00:08
home; inst-min-con-net-tools.sh; 2019-01-02_17.58.35; 1612820; 868; 00:00:00:02
home; inst-min-con-ntp.sh; 2019-01-02_17.58.35; 1615960; 3140; 00:00:00:05
home; inst-min-con-numlock.sh; 2019-01-02_17.58.35; 1622804; 6844; 00:00:00:14
home; inst-min-con-pciutils.sh; 2019-01-02_17.58.35; 1624528; 1724; 00:00:00:03
home; inst-min-con-rename.sh; 2019-01-02_17.58.35; 1675176; 50648; 00:00:00:36
home; inst-min-con-snd-alsa.sh; 2019-01-02_17.58.35; 1687084; 11908; 00:00:00:10
home; inst-min-con-udevil.sh; 2019-01-02_17.58.35; 1695120; 8036; 00:00:00:03
home; inst-min-con-users-poweruser.sh; 2019-01-02_17.58.35; 1695156; 36; 00:00:00:02
home; inst-min-con-xtra-buffer-pv.sh; 2019-01-02_17.58.35; 1695312; 156; 00:00:00:02
home; inst-min-con-xtra-buffer.sh; 2019-01-02_17.58.35; 1695388; 76; 00:00:00:02
home; inst-min-con-xtra-cld-dev-tools-aptly.sh; 2019-01-02_17.58.35; 1729552; 34164; 00:00:00:24
home; inst-min-con-xtra-curl.sh; 2019-01-02_17.58.35; 1731072; 1520; 00:00:00:03
home; inst-min-con-xtra-default-jre-headless.sh; 2019-01-02_17.58.35; 1891864; 160792; 00:00:00:32
home; inst-min-con-xtra-dev-tool-tree.sh; 2019-01-02_17.58.35; 1892048; 184; 00:00:00:02
home; inst-min-con-xtra-encoding-libtext-iconv-perl.sh; 2019-01-02_17.58.35; 1892052; 4; 00:00:00:00
home; inst-min-con-xtra-fuse.sh; 2019-01-02_17.58.35; 1892056; 4; 00:00:00:01
home; inst-min-con-xtra-hd-hdparm.sh; 2019-01-02_17.58.35; 1892484; 428; 00:00:00:02
home; inst-min-con-xtra-hd-smartmontools.sh; 2019-01-02_17.58.35; 1894792; 2308; 00:00:00:03
home; inst-min-con-xtra-iso-iat.sh; 2019-01-02_17.58.35; 1894848; 56; 00:00:00:02
home; inst-min-con-xtra-locate.sh; 2019-01-02_17.58.35; 1895420; 572; 00:00:00:02
home; inst-min-con-xtra-macchanger.sh; 2019-01-02_17.58.35; 1896316; 896; 00:00:00:03
home; inst-min-con-xtra-sqlite3.sh; 2019-01-02_17.58.35; 1900568; 4252; 00:00:00:04
home; inst-min-win-00-00-xorg-fix.sh; 2019-01-02_17.58.35; 1900904; 336; 00:00:00:02
home; inst-min-win-00-xorg.sh; 2019-01-02_17.58.35; 2001388; 100484; 00:00:01:00
home; inst-min-win-01-basic-font.sh; 2019-01-02_17.58.35; 2001396; 8; 00:00:00:01
home; inst-min-win-01-wm-jwm.sh; 2019-01-02_17.58.35; 2162596; 161200; 00:00:03:00
home; inst-min-win-01-wm-terminal-xfce.sh; 2019-01-02_17.58.35; 2162604; 8; 00:00:00:00
home; inst-min-win-cld-win-split.sh; 2019-01-02_17.58.35; 2164124; 1520; 00:00:00:07
home; inst-min-win-jwm-help-manuals-text.sh; 2019-01-02_17.58.35; 2164164; 40; 00:00:00:01
home; inst-min-win-jwm-keyboard-move-mouse.sh; 2019-01-02_17.58.35; 2164180; 16; 00:00:00:00
home; inst-min-win-jwm-keys-alsa.sh; 2019-01-02_17.58.35; 2164188; 8; 00:00:00:01
home; inst-min-win-menu.sh; 2019-01-02_17.58.35; 2165448; 1260; 00:00:00:03
home; inst-min-win-systray-volumeicon-alsa.sh; 2019-01-02_17.58.35; 2165956; 508; 00:00:00:04
home; inst-min-win-xtra-default-jdk.sh; 2019-01-02_17.58.35; 2218956; 53000; 00:00:00:18
home; inst-min-win-xtra-default-jre.sh; 2019-01-02_17.58.35; 2218960; 4; 00:00:00:01
home; inst-min-win-xtra-fonts-asian.sh; 2019-01-02_17.58.35; 2287116; 68156; 00:00:00:10
home; inst-min-win-xtra-xdotool.sh; 2019-01-02_17.58.35; 2287448; 332; 00:00:00:03
home; inst-std-00-jwm-menu.sh; 2019-01-02_17.58.35; 2287452; 4; 00:00:00:01
home; inst-std-accessories-calc-qalculate-gtk.sh; 2019-01-02_17.58.35; 2297776; 10324; 00:00:00:08
home; inst-std-accessories-feh.sh; 2019-01-02_17.58.35; 2300172; 2396; 00:00:00:05
home; inst-std-accessories-gpicview.sh; 2019-01-02_17.58.35; 2300544; 372; 00:00:00:03
home; inst-std-accessories-mupdf.sh; 2019-01-02_17.58.35; 2325196; 24652; 00:00:00:06
home; inst-std-accessories-prtscr-gnome-screenshot.sh; 2019-01-02_17.58.35; 2326956; 1760; 00:00:00:06
home; inst-std-accessories-scite.sh; 2019-01-02_17.58.35; 2334580; 7624; 00:00:00:10
home; inst-std-accessories-thunar.sh; 2019-01-02_17.58.35; 2364932; 30352; 00:00:00:44
home; inst-std-font-fonts-liberation.sh; 2019-01-02_17.58.35; 2367900; 2968; 00:00:00:05
home; inst-std-graphic-gimp.sh; 2019-01-02_17.58.35; 2609988; 242088; 00:00:02:03
home; inst-std-graphic-gpaint.sh; 2019-01-02_17.58.35; 2610776; 788; 00:00:00:04
home; inst-std-graphic-xtra-cheese.sh; 2019-01-02_17.58.35; 2753484; 142708; 00:00:01:23
home; inst-std-help-manuals-html.sh; 2019-01-02_17.58.35; 2753560; 76; 00:00:00:00
home; inst-std-inet-firefox-esr.sh; 2019-01-02_17.58.35; 2955656; 202096; 00:00:00:14
home; inst-std-inet-xtra-00-google-chrome-fix.sh; 2019-01-02_17.58.35; 2955964; 308; 00:00:00:01
home; inst-std-inet-xtra-browser-plugin-downloadhelper-coapp.sh; 2019-01-02_17.58.35; 3048064; 92100; 00:00:00:06
home; inst-std-inet-xtra-google-chrome-keyring.sh; 2019-01-02_17.58.35; 3048080; 16; 00:00:00:01
home; inst-std-inet-xtra-google-chrome.sh; 2019-01-02_17.58.35; 3342712; 294632; 00:00:00:55
home; inst-std-inet-xtra-transmission-gtk.sh; 2019-01-02_17.58.35; 3346364; 3652; 00:00:00:08
home; inst-std-multimedia-00-debmultimedia-keyring.sh; 2019-01-02_17.58.35; 3346428; 64; 00:00:00:05
home; inst-std-multimedia-mpv.sh; 2019-01-02_17.58.35; 3371364; 24936; 00:00:00:18
home; inst-std-multimedia-xtra-ffmpeg.sh; 2019-01-02_17.58.35; 3375468; 4104; 00:00:00:03
home; inst-std-multimedia-xtra-sr-simplescreenrecorder.sh; 2019-01-02_17.58.35; 3409556; 34088; 00:00:00:10
home; inst-std-office-00-libreoffice-fix.sh; 2019-01-02_17.58.35; 3410044; 488; 00:00:00:00
home; inst-std-office-libreoffice-all.sh; 2019-01-02_17.58.35; 3899540; 489496; 00:00:02:36
home; inst-std-system-alsamixer.sh; 2019-01-02_17.58.35; 3899548; 8; 00:00:00:01
home; inst-std-system-conky.sh; 2019-01-02_17.58.35; 3901876; 2328; 00:00:00:05
home; inst-std-system-gnome-disk-utility.sh; 2019-01-02_17.58.35; 3906620; 4744; 00:00:00:12
home; inst-std-system-keyboard.sh; 2019-01-02_17.58.35; 3906628; 8; 00:00:00:01
home; inst-std-system-monitor-switcher-lxrandr.sh; 2019-01-02_17.58.35; 3940716; 34088; 00:00:00:11
home; inst-std-system-network-wicd.sh; 2019-01-02_17.58.35; 3952440; 11724; 00:00:00:23
home; inst-std-system-time-zone.sh; 2019-01-02_17.58.35; 3952444; 4; 00:00:00:01
