cust-live-deb-64_2015-05-13_14.39.05.iso
   287M	binary/live
   88K	binary/isolinux
   287M	binary
   287M	total
   5.7M	chroot/boot
   11M	chroot/bin
   12K	chroot/tmp
   12K	chroot/dev
   599M	chroot/usr
   4.0K	chroot/lib64
   4.0K	chroot/mnt
   20K	chroot/run
   4.0K	chroot/proc
   4.0K	chroot/media
   4.0K	chroot/sys
   4.0K	chroot/home
   4.0K	chroot/opt
   296K	chroot/root
   4.8M	chroot/sbin
   2.3M	chroot/etc
   199M	chroot/lib
   4.0K	chroot/srv
   23M	chroot/var
   843M	chroot
   843M	total

