adduser|3.115
adwaita-icon-theme|3.22.0-1+deb9u1
aglfn|1.7-3
aircrack-ng|1:1.5.2-3~bpo9+1
alsa-utils|1.1.3-1
amd64-microcode|3.20181128.1~bpo9+1
apache2|2.4.25-3+deb9u7
apache2-bin|2.4.25-3+deb9u7
apache2-data|2.4.25-3+deb9u7
apache2-utils|2.4.25-3+deb9u7
apt|1.4.9
apt-transport-https|1.4.9
apt-utils|1.4.9
aptly|1.3.0-5~bpo9+1
aspell|0.60.7~20110707-3+b2
aspell-en|2016.11.20-0-0.1
at-spi2-core|2.30.0-2~bpo9+1
atmel-firmware|1.3-4
b43-fwcutter|1:019-3
base-files|9.9+deb9u9
base-passwd|3.5.43
bash|4.4-5
binutils|2.28-5
blender|2.79.b+dfsg0-1~deb9u1
blender-data|2.79.b+dfsg0-1~deb9u1
bluez-firmware|1.2-3
bsdmainutils|9.0.12+nmu1
bsdutils|1:2.29.2-1+deb9u1
buffer|1.19-12+b1
build-essential|12.3
busybox|1:1.22.0-19+b3
bzip2|1.0.6-8.1
ca-certificates|20161130+nmu1+deb9u1
ca-certificates-java|20170929~deb9u3
conky|1.10.6-1
conky-std|1.10.6-1
coreutils|8.26-3
cpio|2.11+dfsg-6
cpp|4:6.3.0-4
cpp-6|6.3.0-18+deb9u1
cron|3.0pl1-128+deb9u1
curl|7.52.1-5+deb9u9
dash|0.5.8-2.4
dbus|1.10.26-0+deb9u1
dbus-user-session|1.10.26-0+deb9u1
dconf-gsettings-backend|0.26.0-2+b1
dconf-service|0.26.0-2+b1
deb-multimedia-keyring|2016.8.1
debconf|1.5.61
debconf-i18n|1.5.61
debconf-utils|1.5.61
debian-archive-keyring|2017.5
debianutils|4.8.1.1
debootstrap|1.0.110~bpo9+1
default-jdk|2:1.8-58+deb9u1
default-jdk-headless|2:1.8-58+deb9u1
default-jre|2:1.8-58+deb9u1
default-jre-headless|2:1.8-58+deb9u1
desktop-file-utils|0.23-1
dh-python|2.20170125
dialog|1.3-20160828-2
dictionaries-common|1.27.2
diffutils|1:3.5-3
dirmngr|2.2.12-1~bpo9+1
distro-info-data|0.36
dkms|2.6.1-4~bpo9+1
dmidecode|3.0-4
dmsetup|2:1.02.137-2
dosfstools|4.1-1
dpkg|1.18.25
dpkg-dev|1.18.25
e2fslibs|1.43.4-2
e2fsprogs|1.43.4-2
emacsen-common|2.0.8
ethtool|1:4.8-1+b1
exfat-fuse|1.2.5-2
exfat-utils|1.2.5-2
exo-utils|0.10.7-1
feh|2.18-2
ffmpeg|10:3.3.9-dmo1+deb9u1
file|1:5.30-1+deb9u2
findutils|4.6.0+git+20161106-2
firefox-esr|60.6.3esr-1~deb9u1
firmware-amd-graphics|20190114-1~bpo9+2
firmware-atheros|20190114-1~bpo9+2
firmware-bnx2|20190114-1~bpo9+2
firmware-bnx2x|20190114-1~bpo9+2
firmware-brcm80211|20190114-1~bpo9+2
firmware-intelwimax|20190114-1~bpo9+2
firmware-ipw2x00|20190114-1~bpo9+2
firmware-ivtv|20190114-1~bpo9+2
firmware-iwlwifi|20190114-1~bpo9+2
firmware-libertas|20190114-1~bpo9+2
firmware-linux|20190114-1~bpo9+2
firmware-linux-free|3.4
firmware-linux-nonfree|20190114-1~bpo9+2
firmware-misc-nonfree|20190114-1~bpo9+2
firmware-qlogic|20190114-1~bpo9+2
firmware-realtek|20190114-1~bpo9+2
firmware-zd1211|1:1.5-4
fontconfig|2.11.0-6.7+b1
fontconfig-config|2.11.0-6.7
fonts-dejavu|2.37-1
fonts-dejavu-core|2.37-1
fonts-dejavu-extra|2.37-1
fonts-hanazono|20160201-1
fonts-liberation|1:1.07.4-2
fuse|2.9.7-1+deb9u2
g++|4:6.3.0-4
g++-6|6.3.0-18+deb9u1
galera-3|25.3.26-stretch
gawk|1:4.1.4+dfsg-1
gcc|4:6.3.0-4
gcc-6|6.3.0-18+deb9u1
gcc-6-base|6.3.0-18+deb9u1
gconf-service|3.2.6-4+b1
gconf2-common|3.2.6-4
gir1.2-glib-2.0|1.50.0-1+b1
git|1:2.20.1-1~bpo9+1
git-man|1:2.20.1-1~bpo9+1
glib-networking|2.50.0-1+b1
glib-networking-common|2.50.0-1
glib-networking-services|2.50.0-1+b1
gnome-disk-utility|3.22.1-1
gnome-icon-theme|3.12.0-2
gnome-screenshot|3.22.0-1+b1
gnupg|2.2.12-1~bpo9+1
gnupg-agent|2.1.18-8~deb9u4
gnupg-l10n|2.2.12-1~bpo9+1
gnupg-utils|2.2.12-1~bpo9+1
gnupg1|1.4.21-4+deb9u1
gnuplot-data|5.0.5+dfsg1-6+deb9u1
gnuplot-nox|5.0.5+dfsg1-6+deb9u1
google-chrome-stable|74.0.3729.157-1
gpaint|0.3.3-6.1+b1
gpg|2.2.12-1~bpo9+1
gpg-agent|2.2.12-1~bpo9+1
gpg-wks-client|2.2.12-1~bpo9+1
gpg-wks-server|2.2.12-1~bpo9+1
gpgconf|2.2.12-1~bpo9+1
gpgsm|2.2.12-1~bpo9+1
gpgv|2.2.12-1~bpo9+1
gpgv1|1.4.21-4+deb9u1
gpicview|0.2.5-2+b1
graphviz|2.38.0-17
grep|2.27-2
gsettings-desktop-schemas|3.22.0-1
gsimplecal|2.1-1+b1
gtk-update-icon-cache|3.22.11-1
gzip|1.6-5+b1
hardinfo|0.5.1-1.5+b3
